ID,Formula,Bulk,Mo,Nb,Ta,Ti,V,W,Zr
10607,Ta30Ti15Nb23V15Mo15W30,202.379216,15,23,30,15,15,30,0
8188,Zr30Ta23Ti15V15W45,167.95137,0,0,23,15,15,45,30
6908,Zr23Ta30Ti15V15Mo30W15,168.653416,30,0,30,15,15,15,23
6762,Zr68Ti15Nb15Mo30,113.841281,30,15,0,15,0,0,68
5697,Ta15Ti45Nb30W38,176.061554,0,30,15,45,0,38,0
10980,Zr15Ta30W83,235.622077,0,0,30,0,0,83,15
495,Zr60Ta15Nb30Mo23,126.676704,23,30,15,0,0,0,60
5238,Ta60Ti15V15Mo23W15,201.59731,23,0,60,15,15,15,0
2104,Ta60Nb23V15Mo15W15,205.151306,15,23,60,0,15,15,0
3210,Zr23Ta30Ti15Nb45W15,154.309834,0,45,30,15,0,15,23
8892,Nb15V53W60,232.680236,0,15,0,0,53,60,0
11721,Zr15Ta15Nb15V15Mo38W30,208.049149,38,15,15,0,15,30,15
9940,Zr30Ti38V15Mo45,137.73802,45,0,0,38,15,0,30
578,Ti45V53Mo30,161.762584,30,0,0,45,53,0,0
1698,Zr38Ta15Ti30V15Mo15W15,132.616402,15,0,15,30,15,15,38
5113,Ti15Nb45V15W53,209.066299,0,45,0,15,15,53,0
1237,Zr15Ti30V15Mo38W30,182.915963,38,0,0,30,15,30,15
3560,Ta60Ti15Nb30V23,174.394511,0,30,60,15,23,0,0
4745,Zr75Ti15Mo15W23,116.446876,15,0,0,15,0,23,75
9518,Zr30Nb60V15W23,156.049084,0,60,0,0,15,23,30
8527,Ta15Ti15Nb38V15Mo45,194.064414,45,38,15,15,15,0,0
11852,Zr23Ti30Nb30Mo15W30,158.761083,15,30,0,30,0,30,23
2821,Zr30Ta15Ti23Nb15Mo30W15,154.100111,30,15,15,23,0,15,30
7482,Ta30Ti15V45Mo15W23,198.410503,15,0,30,15,45,23,0
11638,Ta30Ti15Mo45W38,232.807487,45,0,30,15,0,38,0
653,Ta30Ti23Nb30Mo45,190.8122,45,30,30,23,0,0,0
9866,Ta60V45Mo23,198.759369,23,0,60,0,45,0,0
2479,Zr15Ta60Ti15Mo15W23,184.768317,15,0,60,15,0,23,15
3799,Zr30Ti38Nb15Mo45,140.497702,45,15,0,38,0,0,30
4809,Ta53Ti30Mo15W30,198.450982,15,0,53,30,0,30,0
4035,Ti15V75Mo23W15,194.114239,23,0,0,15,75,15,0
11899,Ta68V15Mo15W30,223.324626,15,0,68,0,15,30,0
920,Nb30Mo98,234.914406,98,30,0,0,0,0,0
4663,Ta30Ti45Nb38V15,147.421947,0,38,30,45,15,0,0
