"dataset","method","n","runtime"
"D4","Random",20,0
"D4","QMC",20,0.00400000000000134
"D4","K-medoids",20,0.853999999999996
"D4","SP",20,0.164999999999992
"D4","SSP",20,0.176999999999992
"D4","Random",30,0
"D4","QMC",30,0.00400000000000134
"D4","K-medoids",30,1.2305
"D4","SP",30,0.228999999999985
"D4","SSP",30,0.239000000000004
"D4","Random",40,0
"D4","QMC",40,0.00400000000000134
"D4","K-medoids",40,1.3735
"D4","SP",40,0.293000000000006
"D4","SSP",40,0.295500000000004
"D4","Random",50,0
"D7","Random",50,0
"D4","QMC",50,0.00400000000000134
"D7","QMC",50,0.0110000000000241
"D4","K-medoids",50,1.54100000000001
"D7","K-medoids",50,6.65849999999998
"D4","SP",50,0.363499999999988
"D7","SP",50,0.976999999999975
"D4","SSP",50,0.363999999999976
"D7","SSP",50,0.990000000000009
"D4","Random",60,0
"D7","Random",60,0
"D4","QMC",60,0.00400000000000134
"D7","QMC",60,0.0110000000000241
"D4","K-medoids",60,1.50999999999999
"D7","K-medoids",60,7.24400000000003
"D4","SP",60,0.427999999999997
"D7","SP",60,1.15950000000009
"D4","SSP",60,0.423000000000002
"D7","SSP",60,1.17349999999999
"D7","Random",70,0
"D7","QMC",70,0.0120000000000005
"D7","K-medoids",70,8.03000000000003
"D7","SP",70,1.34400000000005
"D7","SSP",70,1.35700000000008
"D7","Random",80,0
"D7","QMC",80,0.0120000000000005
"D7","K-medoids",80,8.74049999999988
"D7","SP",80,1.52549999999985
"D7","SSP",80,1.57899999999995
"D7","Random",90,0
"D7","QMC",90,0.0120000000000005
"D7","K-medoids",90,9.11000000000001
"D7","SP",90,1.76800000000003
"D7","SSP",90,1.73849999999993
