"method","n","replication","full_mae1","full_rmse1","bound_mae1","bound_rmse1","inter_mae1","inter_rmse1","full_mae2","full_rmse2","bound_mae2","bound_rmse2","inter_mae2","inter_rmse2","runtime"
"Random",20,1,6.71610718576953,1.93308497227639,9.24474587713042,2.58241265668905,5.56267324576916,1.54899124681822,1.34087919430341,2.09970052571386,1.9979630757359,2.96000813980984,1.04115157688587,1.55665416613871,0
"Random",20,2,11.3371611890003,3.00687856411466,14.483876873366,3.81336785210564,9.90383675726378,2.55653459082437,1.66348005781647,2.84784088886034,2.37499702070641,4.11595263283944,1.33938511286414,2.02181848840154,0
"Random",20,3,13.2358921210307,3.99445277068373,19.9908008818394,5.6274342181875,10.1524572067776,2.96367679086252,2.48432777538548,3.97458892391126,3.56742846230479,5.44594641715797,1.98992132343235,3.07736789837796,0
"Random",20,4,11.0108081469125,3.44028466647588,16.0711868687465,4.8203618876005,8.70909742393777,2.57878346143391,2.83632935005799,4.90334470824026,4.02958155208165,6.88335259735995,2.29357918458903,3.66437222280031,0
"Random",20,5,12.6827779810476,5.04409038370186,17.3391680092315,6.72415315285816,10.5602869441042,4.05346625622568,1.47721619258754,2.24868885749249,1.82920244472485,2.79858088668212,1.3167726599868,1.94717366156581,0
"Random",20,6,9.54429578135327,2.84859838172583,12.4207343083192,3.66065900299178,8.23127864125386,2.38780980896716,2.40406509431688,3.73724080627813,3.22940233656626,4.9861702200371,2.0273207504776,2.99895441509886,0
"Random",20,7,8.94423167371937,2.61056915992874,11.9108049371435,3.61117650698469,7.59199847934732,1.99432502197197,2.10408007264844,3.79737828797201,3.29685848884295,5.58406718940241,1.56038388695335,2.60378520520181,0
"Random",20,8,5.69488566974604,1.85872086202125,8.4204590522169,2.68917727452593,4.45162032857879,1.31607316421435,2.25231005490078,3.74328800672892,3.01247291741206,5.2545043479067,1.90556314774321,2.79458040633502,0
"Random",20,9,7.48818108567921,2.37356533732827,11.8305464760957,3.54839376689913,5.50600759831276,1.56780028910391,1.22322028023094,1.96876228413374,1.73078370846199,2.68092641987781,0.991531170692433,1.53768859534881,0
"Random",20,10,5.80407526515336,1.62754866954724,7.53741330925981,2.07503659741231,5.01341626891287,1.37591423739299,1.8205893393037,2.99200941256507,2.50912156508808,3.91824172234616,1.50651661680799,2.45612395100645,0
"Random",20,11,7.16746871615888,2.26631193854232,10.4089712780374,3.15574562979708,5.68780962262283,1.71312580663775,1.35676546172562,2.07905533148139,1.9448310633337,2.87317548396031,1.08832926634872,1.58975288932868,0
"Random",20,12,5.98584990913499,1.95033294638712,8.44802774509455,2.70499749000317,4.86033002744467,1.48250656085031,1.76514492325803,2.85758601140756,2.63542867792455,4.08985797027317,1.36731757939863,2.06210996268445,0
