"method","replication","n","coordinate","minimum","maximum"
"Random",1,70,"Mo",0,0.5859375
"Random",1,70,"Nb",0,0.6484375
"Random",1,70,"Ta",0,0.703125
"Random",1,70,"Ti",0,0.6484375
"Random",1,70,"V",0,0.6484375
"Random",1,70,"W",0,0.8828125
"Random",1,70,"Zr",0,0.8828125
"Random",2,70,"Mo",0,0.5859375
"Random",2,70,"Nb",0,0.53125
"Random",2,70,"Ta",0,0.53125
"Random",2,70,"Ti",0,0.703125
"Random",2,70,"V",0,0.6484375
"Random",2,70,"W",0,0.5859375
"Random",2,70,"Zr",0,0.765625
"Random",3,70,"Mo",0,0.703125
"Random",3,70,"Nb",0,0.5859375
"Random",3,70,"Ta",0,0.5859375
"Random",3,70,"Ti",0,0.703125
"Random",3,70,"V",0,0.765625
"Random",3,70,"W",0,0.5859375
"Random",3,70,"Zr",0,0.703125
"Random",4,70,"Mo",0,0.5859375
"Random",4,70,"Nb",0,0.703125
"Random",4,70,"Ta",0,0.703125
"Random",4,70,"Ti",0,0.765625
"Random",4,70,"V",0,0.8828125
"Random",4,70,"W",0,0.8828125
"Random",4,70,"Zr",0,0.6484375
"Random",5,70,"Mo",0,0.53125
"Random",5,70,"Nb",0,0.8203125
"Random",5,70,"Ta",0,0.703125
"Random",5,70,"Ti",0,0.6484375
"Random",5,70,"V",0,0.6484375
"Random",5,70,"W",0,0.53125
"Random",5,70,"Zr",0,0.5859375
"Random",6,70,"Mo",0,0.5859375
"Random",6,70,"Nb",0,0.5859375
"Random",6,70,"Ta",0,0.5859375
"Random",6,70,"Ti",0,0.5859375
"Random",6,70,"V",0,0.5859375
"Random",6,70,"W",0,0.5859375
"Random",6,70,"Zr",0,0.5859375
"Random",7,70,"Mo",0,0.8828125
"Random",7,70,"Nb",0,0.6484375
"Random",7,70,"Ta",0,0.765625
"Random",7,70,"Ti",0,0.6484375
"Random",7,70,"V",0,0.703125
"Random",7,70,"W",0,0.8828125
"Random",7,70,"Zr",0,0.5859375
"Random",8,70,"Mo",0,0.5859375
"Random",8,70,"Nb",0,0.765625
"Random",8,70,"Ta",0,0.5859375
"Random",8,70,"Ti",0,0.6484375
"Random",8,70,"V",0,0.6484375
"Random",8,70,"W",0,0.765625
"Random",8,70,"Zr",0,0.6484375
"Random",9,70,"Mo",0,0.5859375
"Random",9,70,"Nb",0,0.703125
"Random",9,70,"Ta",0,0.53125
"Random",9,70,"Ti",0,0.765625
"Random",9,70,"V",0,0.5859375
"Random",9,70,"W",0,0.703125
"Random",9,70,"Zr",0,0.53125
"Random",10,70,"Mo",0,0.765625
"Random",10,70,"Nb",0,0.5859375
"Random",10,70,"Ta",0,0.765625
"Random",10,70,"Ti",0,0.53125
"Random",10,70,"V",0,0.5859375
"Random",10,70,"W",0,0.5859375
"Random",10,70,"Zr",0,0.765625
"Random",11,70,"Mo",0,0.6484375
"Random",11,70,"Nb",0,0.6484375
"Random",11,70,"Ta",0,0.765625
"Random",11,70,"Ti",0,0.5859375
"Random",11,70,"V",0,0.703125
"Random",11,70,"W",0,0.53125
"Random",11,70,"Zr",0,0.6484375
"Random",12,70,"Mo",0,0.46875
"Random",12,70,"Nb",0,0.8203125
"Random",12,70,"Ta",0,0.5859375
"Random",12,70,"Ti",0,0.765625
"Random",12,70,"V",0,0.765625
"Random",12,70,"W",0,0.5859375
"Random",12,70,"Zr",0,0.6484375
"Random",13,70,"Mo",0,0.703125
"Random",13,70,"Nb",0,0.6484375
"Random",13,70,"Ta",0,0.8828125
"Random",13,70,"Ti",0,0.5859375
"Random",13,70,"V",0,0.8828125
"Random",13,70,"W",0,0.5859375
"Random",13,70,"Zr",0,0.6484375
"Random",14,70,"Mo",0,0.4140625
"Random",14,70,"Nb",0,0.765625
"Random",14,70,"Ta",0,0.765625
"Random",14,70,"Ti",0,0.5859375
"Random",14,70,"V",0,0.5859375
"Random",14,70,"W",0,0.53125
"Random",14,70,"Zr",0,0.703125
"Random",15,70,"Mo",0,0.53125
"Random",15,70,"Nb",0,0.6484375
