"method","n","replication","full_mae","full_rmse","bound_mae","bound_rmse","inter_mae","inter_rmse","runtime"
"Random",50,1,0.894473586988638,2.13513994601501,0.89533381219735,2.13745626119648,0.685333527572348,1.46721424550419,0
"Random",50,2,1.28086775827926,3.66942181229245,1.28397018496199,3.67613445628488,0.510819602069566,1.10723713983215,0
"Random",50,3,1.31090083137579,3.21796383608649,1.31376789196466,3.22358018100122,0.613854039638103,1.24884890376119,0
"Random",50,4,1.0569423169565,2.57938800801349,1.0593866366264,2.58392625693143,0.462673332722106,0.977905269147232,0
"Random",50,5,1.38067323503933,3.46553512010352,1.38417146237344,3.4718248474932,0.530175638483222,1.18385121033967,0
"Random",50,6,1.19610522405079,2.8908839192788,1.19791101791389,2.89502458603501,0.757076197701686,1.59141419605303,0
"Random",50,7,1.7294829048042,4.45205524643938,1.73276248737671,4.45961304249755,0.915463180451379,1.76162606931841,0
"Random",50,8,1.01163525993289,2.47113377199942,1.01393522222398,2.47553670498043,0.452462795164662,0.90073834184331,0
"Random",50,9,1.25248220670229,3.22512711859475,1.25495146795277,3.23048135602084,0.639590987156971,1.34987351768941,0
"Random",50,10,0.966143978284532,2.48035335590711,0.967713578061248,2.48414229063648,0.584539036651694,1.25657592051878,0
"Random",50,11,1.55829496520118,3.98375302577859,1.55949311654219,3.98910484798474,1.26699747692699,2.34444431089057,0
"Random",50,12,0.776093933141604,1.891509728555,0.777632481920107,1.89470722586986,0.402038186237749,0.796534323256458,0
"Random",50,13,1.58618194127521,4.44209314841593,1.59067583043715,4.45068500848164,0.493616602779957,1.07531294132031,0
"Random",50,14,1.02459889043771,2.52703276520457,1.02700852584791,2.53153972628314,0.43876242836087,0.91814873533252,0
"Random",50,15,2.38736068345633,6.80321747510549,2.39353005516498,6.81620498094282,0.887447924983177,1.8109950555489,0.0010000000000332
"Random",50,16,1.15356743210302,2.83960599613308,1.15564203951076,2.84409353749958,0.649183798462898,1.36466871951304,0
"Random",50,17,1.97528598983216,5.25091498908336,1.98011169491859,5.26053168858055,0.802048751167168,1.73088774576813,0
"Random",50,18,1.03836580591658,2.54894123398197,1.03922327159378,2.5521681288141,0.829896650560964,1.57959651712429,0
"Random",50,19,0.894415187640713,2.11595299718577,0.896257982289313,2.11952883670381,0.446390439706416,0.891666720510959,0
